num_splits,buy_threshold,investment_ratio,consider_delisting,max_stocks,Average_Total_Value,Average_CAGR,Average_MDD
10,40,0.05,FALSE,20,213516558.2,0.054983751,0.27328762
30,30,0.1,FALSE,20,210831957.4,0.054469429,0.337007931
10,50,0.05,FALSE,20,213338694.8,0.052423281,0.293189396
20,40,0.05,FALSE,30,200761096,0.051168744,0.310062384
30,40,0.05,FALSE,40,195891856.2,0.047594071,0.271034151
20,50,0.05,FALSE,30,192078901.4,0.046295091,0.269480547
30,40,0.1,FALSE,20,188743485.6,0.046220477,0.297465397
30,50,0.05,FALSE,40,182561994.8,0.043907708,0.240821802
30,30,0.05,FALSE,30,179490982.4,0.042779292,0.222740359
20,30,0.05,FALSE,20,180005535.2,0.042716674,0.222253147
30,50,0.1,FALSE,20,176431925,0.039511629,0.258826176
30,40,0.05,FALSE,30,164663494.2,0.036049954,0.222245191
20,40,0.05,FALSE,20,161267756.2,0.034891865,0.214625734
30,50,0.05,FALSE,30,157726797.2,0.032205022,0.16902418
20,50,0.05,FALSE,20,152834137.8,0.030140721,0.174661158
30,30,0.05,FALSE,20,147601577.2,0.028188506,0.173868076
30,40,0.05,FALSE,20,136301967.2,0.02228353,0.142039087
30,50,0.05,FALSE,20,135295016.4,0.021246874,0.122432669
